traitID	traitDescription	traitType	downloadLink
46_irnt.female	Hand grip strength (left)	non-blood	https://www.dropbox.com/s/qxyb1zutczl2ztf/46_irnt.ldsc.imputed_v3.female.tsv.bgz
46_irnt.male	Hand grip strength (left)	non-blood	https://www.dropbox.com/s/7682t56xw72adbd/46_irnt.ldsc.imputed_v3.male.tsv.bgz
47_irnt.female	Hand grip strength (right)	non-blood	https://www.dropbox.com/s/79iok9j10rqf2i9/47_irnt.ldsc.imputed_v3.female.tsv.bgz
47_irnt.male	Hand grip strength (right)	non-blood	https://www.dropbox.com/s/ukre11i7u0qj8ln/47_irnt.ldsc.imputed_v3.male.tsv.bgz
48_irnt.female	Waist circumference	non-blood	https://www.dropbox.com/s/p9a36t5kwdn29ip/48_irnt.ldsc.imputed_v3.female.tsv.bgz
48_irnt.male	Waist circumference	non-blood	https://www.dropbox.com/s/rc6jma7dj8r2y34/48_irnt.ldsc.imputed_v3.male.tsv.bgz
49_irnt.female	Hip circumference	non-blood	https://www.dropbox.com/s/8swq4gholkxtbx9/49_irnt.ldsc.imputed_v3.female.tsv.bgz
49_irnt.male	Hip circumference	non-blood	https://www.dropbox.com/s/iwjz56z87g11kic/49_irnt.ldsc.imputed_v3.male.tsv.bgz
50_irnt.female	Standing height	non-blood	https://www.dropbox.com/s/fe4mlzm4qu9jwke/50_irnt.ldsc.imputed_v3.female.tsv.bgz
50_irnt.male	Standing height	non-blood	https://www.dropbox.com/s/lqsirtotf368unq/50_irnt.ldsc.imputed_v3.male.tsv.bgz
78_irnt.female	Heel bone mineral density (BMD) T-score, automated	non-blood	https://www.dropbox.com/s/fm89f53uwoangqa/78_irnt.ldsc.imputed_v3.female.tsv.bgz
78_irnt.male	Heel bone mineral density (BMD) T-score, automated	non-blood	https://www.dropbox.com/s/11hzd5dxwz1zg1a/78_irnt.ldsc.imputed_v3.male.tsv.bgz
84_irnt.female	Cancer year/age first occurred	non-blood	https://www.dropbox.com/s/ed9382l0j6gp5io/84_irnt.ldsc.imputed_v3.female.tsv.bgz
84_irnt.male	Cancer year/age first occurred	non-blood	https://www.dropbox.com/s/c756evpjxotamqo/84_irnt.ldsc.imputed_v3.male.tsv.bgz
93_irnt.female	Systolic blood pressure, manual reading	non-blood	https://www.dropbox.com/s/v6ctxxv7aihkr7b/93_irnt.ldsc.imputed_v3.female.tsv.bgz
93_irnt.male	Systolic blood pressure, manual reading	non-blood	https://www.dropbox.com/s/iilq39xj11ibj2a/93_irnt.ldsc.imputed_v3.male.tsv.bgz
94_irnt.female	Diastolic blood pressure, manual reading	non-blood	https://www.dropbox.com/s/azmdk7qulsiegh0/94_irnt.ldsc.imputed_v3.female.tsv.bgz
94_irnt.male	Diastolic blood pressure, manual reading	non-blood	https://www.dropbox.com/s/v2t0r64fpdavrbo/94_irnt.ldsc.imputed_v3.male.tsv.bgz
102_irnt.female	Pulse rate, automated reading	non-blood	https://www.dropbox.com/s/k94zjl02900iyu1/102_irnt.ldsc.imputed_v3.female.tsv.bgz
102_irnt.male	Pulse rate, automated reading	non-blood	https://www.dropbox.com/s/kbsinpj1cmatzc8/102_irnt.ldsc.imputed_v3.male.tsv.bgz
129_irnt.female	Place of birth in UK - north co-ordinate	non-blood	https://www.dropbox.com/s/igfv5evw5unfaiy/129_irnt.ldsc.imputed_v3.female.tsv.bgz
129_irnt.female.v2	Place of birth in UK - north co-ordinate	non-blood	https://www.dropbox.com/s/197bma31iqq3wnj/129_irnt.imputed_v3.ldsc.female.v2.tsv.bgz
129_irnt.male	Place of birth in UK - north co-ordinate	non-blood	https://www.dropbox.com/s/pyj9kt2maaf07w8/129_irnt.ldsc.imputed_v3.male.tsv.bgz
129_irnt.male.v2	Place of birth in UK - north co-ordinate	non-blood	https://www.dropbox.com/s/5hla4f4kd5bwo8l/129_irnt.imputed_v3.ldsc.male.v2.tsv.bgz
130_irnt.female	Place of birth in UK - east co-ordinate	non-blood	https://www.dropbox.com/s/b928se61bzsws4r/130_irnt.ldsc.imputed_v3.female.tsv.bgz
130_irnt.female.v2	Place of birth in UK - east co-ordinate	non-blood	https://www.dropbox.com/s/zogr9sx470a1vyu/130_irnt.imputed_v3.ldsc.female.v2.tsv.bgz
130_irnt.male	Place of birth in UK - east co-ordinate	non-blood	https://www.dropbox.com/s/82yc3f1bfkz5krj/130_irnt.ldsc.imputed_v3.male.tsv.bgz
130_irnt.male.v2	Place of birth in UK - east co-ordinate	non-blood	https://www.dropbox.com/s/b9zfxglorb4h1j9/130_irnt.imputed_v3.ldsc.male.v2.tsv.bgz
189_irnt.female	Townsend deprivation index at recruitment	non-blood	https://www.dropbox.com/s/0acchrd6kyzau8i/189_irnt.ldsc.imputed_v3.female.tsv.bgz
189_irnt.male	Townsend deprivation index at recruitment	non-blood	https://www.dropbox.com/s/ysferebf32c45ah/189_irnt.ldsc.imputed_v3.male.tsv.bgz
399_irnt.female	Number of incorrect matches in round	non-blood	https://www.dropbox.com/s/f0njo7lbsxmcc4l/399_irnt.ldsc.imputed_v3.female.tsv.bgz
399_irnt.male	Number of incorrect matches in round	non-blood	https://www.dropbox.com/s/f4y5yh2gcp9mnvr/399_irnt.ldsc.imputed_v3.male.tsv.bgz
400_irnt.female	Time to complete round	non-blood	https://www.dropbox.com/s/pld80lwuax9zy7a/400_irnt.ldsc.imputed_v3.female.tsv.bgz
400_irnt.male	Time to complete round	non-blood	https://www.dropbox.com/s/8f2fv8lf4r38aza/400_irnt.ldsc.imputed_v3.male.tsv.bgz
404_irnt.female	Duration to first press of snap-button in each round	non-blood	https://www.dropbox.com/s/asygyi6f02norr7/404_irnt.ldsc.imputed_v3.female.tsv.bgz
404_irnt.male	Duration to first press of snap-button in each round	non-blood	https://www.dropbox.com/s/yr4jg1ebrxv5b2u/404_irnt.ldsc.imputed_v3.male.tsv.bgz
699_irnt.female	Length of time at current address	non-blood	https://www.dropbox.com/s/omnybaypi9f0xq1/699_irnt.ldsc.imputed_v3.female.tsv.bgz
699_irnt.male	Length of time at current address	non-blood	https://www.dropbox.com/s/p4ddyy4ff09r6qm/699_irnt.ldsc.imputed_v3.male.tsv.bgz
757_irnt.female	Time employed in main current job	non-blood	https://www.dropbox.com/s/26rl4vk5e3jvoa4/757_irnt.ldsc.imputed_v3.female.tsv.bgz
757_irnt.male	Time employed in main current job	non-blood	https://www.dropbox.com/s/965r22fs7m672b9/757_irnt.ldsc.imputed_v3.male.tsv.bgz
767_irnt.female	Length of working week for main job	non-blood	https://www.dropbox.com/s/5x6at1m11ekvt7a/767_irnt.ldsc.imputed_v3.female.tsv.bgz
767_irnt.male	Length of working week for main job	non-blood	https://www.dropbox.com/s/3sybl1wzusruq6z/767_irnt.ldsc.imputed_v3.male.tsv.bgz
796_irnt.female	Distance between home and job workplace	non-blood	https://www.dropbox.com/s/hnr328fw3c6zqn6/796_irnt.ldsc.imputed_v3.female.tsv.bgz
796_irnt.male	Distance between home and job workplace	non-blood	https://www.dropbox.com/s/58vdkaiclv4tlyl/796_irnt.ldsc.imputed_v3.male.tsv.bgz
874_irnt.female	Duration of walks	non-blood	https://www.dropbox.com/s/efzrcwo02ei9ycc/874_irnt.ldsc.imputed_v3.female.tsv.bgz
874_irnt.male	Duration of walks	non-blood	https://www.dropbox.com/s/jsf8ia2do1sbe3u/874_irnt.ldsc.imputed_v3.male.tsv.bgz
