trait_short	description
30000_irnt.female	White blood cell (leukocyte) count
30000_irnt.male	White blood cell (leukocyte) count
30010_irnt.female	Red blood cell (erythrocyte) count
30010_irnt.male	Red blood cell (erythrocyte) count
30020_irnt.female	Haemoglobin concentration
30020_irnt.male	Haemoglobin concentration
30030_irnt.female	Haematocrit percentage
30030_irnt.male	Haematocrit percentage
30040_irnt.female	Mean corpuscular volume
30040_irnt.male	Mean corpuscular volume
30050_irnt.female	Mean corpuscular haemoglobin
30050_irnt.male	Mean corpuscular haemoglobin
30060_irnt.female	Mean corpuscular haemoglobin concentration
30060_irnt.male	Mean corpuscular haemoglobin concentration
30070_irnt.female	Red blood cell (erythrocyte) distribution width
30070_irnt.male	Red blood cell (erythrocyte) distribution width
30080_irnt.female	Platelet count
30080_irnt.male	Platelet count
30090_irnt.female	Platelet crit
30090_irnt.male	Platelet crit
30100_irnt.female	Mean platelet (thrombocyte) volume
30100_irnt.male	Mean platelet (thrombocyte) volume
30110_irnt.female	Platelet distribution width
30110_irnt.male	Platelet distribution width
30120_irnt.female	Lymphocyte count
30120_irnt.male	Lymphocyte count
30130_irnt.female	Monocyte count
30130_irnt.male	Monocyte count
30140_irnt.female	Neutrophill count
30140_irnt.male	Neutrophill count
30180_irnt.female	Lymphocyte percentage
30180_irnt.male	Lymphocyte percentage
30190_irnt.female	Monocyte percentage
30190_irnt.male	Monocyte percentage
30200_irnt.female	Neutrophill percentage
30200_irnt.male	Neutrophill percentage
30210_irnt.female	Eosinophill percentage
30210_irnt.male	Eosinophill percentage
30220_irnt.female	Basophill percentage
30220_irnt.male	Basophill percentage
30240_irnt.female	Reticulocyte percentage
30240_irnt.male	Reticulocyte percentage
30250_irnt.female	Reticulocyte count
30250_irnt.male	Reticulocyte count
30260_irnt.female	Mean reticulocyte volume
30260_irnt.male	Mean reticulocyte volume
30270_irnt.female	Mean sphered cell volume
30270_irnt.male	Mean sphered cell volume
30280_irnt.female	Immature reticulocyte fraction
30280_irnt.male	Immature reticulocyte fraction
30290_irnt.female	High light scatter reticulocyte percentage
30290_irnt.male	High light scatter reticulocyte percentage
30300_irnt.female	High light scatter reticulocyte count
30300_irnt.male	High light scatter reticulocyte count
30600_irnt.female	Albumin (g/L)
30600_irnt.male	Albumin (g/L)
30610_irnt.female	Alkaline phosphatase (U/L)
30610_irnt.male	Alkaline phosphatase (U/L)
30620_irnt.female	Alanine aminotransferase (U/L)
30620_irnt.male	Alanine aminotransferase (U/L)
30630_irnt.female	Apoliprotein A (g/L)
30630_irnt.male	Apoliprotein A (g/L)
30640_irnt.female	Apoliprotein B (g/L)
30640_irnt.male	Apoliprotein B (g/L)
30650_irnt.female	Aspartate aminotransferase (U/L)
30650_irnt.male	Aspartate aminotransferase (U/L)
30660_irnt.female	Direct bilirubin (umol/L)
30660_irnt.male	Direct bilirubin (umol/L)
30670_irnt.female	Urea (mmol/L)
30670_irnt.male	Urea (mmol/L)
30680_irnt.female	Calcium (mmol/L)
30680_irnt.male	Calcium (mmol/L)
30690_irnt.female	Cholesterol (mmol/L)
30690_irnt.male	Cholesterol (mmol/L)
30700_irnt.female	Creatinine (umol/L)
30700_irnt.male	Creatinine (umol/L)
30710_irnt.female	C-reactive protein (mg/L)
30710_irnt.male	C-reactive protein (mg/L)
30720_irnt.female	Cystatin C (mg/L)
30720_irnt.male	Cystatin C (mg/L)
30730_irnt.female	Gamma glutamyltransferase (U/L)
30730_irnt.male	Gamma glutamyltransferase (U/L)
30740_irnt.female	Glucose (mmol/L)
30740_irnt.male	Glucose (mmol/L)
30750_irnt.female	Glycated haemoglobin (mmol/mol)
30750_irnt.male	Glycated haemoglobin (mmol/mol)
30760_irnt.female	HDL cholesterol (mmol/L)
30760_irnt.male	HDL cholesterol (mmol/L)
30770_irnt.female	IGF-1 (nmol/L)
30770_irnt.male	IGF-1 (nmol/L)
30780_irnt.female	LDL direct (mmol/L)
30780_irnt.male	LDL direct (mmol/L)
30790_irnt.female	Lipoprotein A (nmol/L)
30790_irnt.male	Lipoprotein A (nmol/L)
30800_irnt.female	Oestradiol (pmol/L)
30800_irnt.male	Oestradiol (pmol/L)
30810_irnt.female	Phosphate (mmol/L)
30810_irnt.male	Phosphate (mmol/L)
30820_irnt.female	Rheumatoid factor (IU/ml)
30820_irnt.male	Rheumatoid factor (IU/ml)
30830_irnt.female	SHBG (nmol/L)
30830_irnt.male	SHBG (nmol/L)
30840_irnt.female	Total bilirubin (umol/L)
30840_irnt.male	Total bilirubin (umol/L)
30850_irnt.female	Testosterone (nmol/L)
30850_irnt.male	Testosterone (nmol/L)
30860_irnt.female	Total protein (g/L)
30860_irnt.male	Total protein (g/L)
30870_irnt.female	Triglycerides (mmol/L)
30870_irnt.male	Triglycerides (mmol/L)
30880_irnt.female	Urate (umol/L)
30880_irnt.male	Urate (umol/L)
30890_irnt.female	Vitamin D (nmol/L)
30890_irnt.male	Vitamin D (nmol/L)
