trait_short	Enrichment	Enrichment_p	Enrichment_p_adj	description
30040_irnt.female	29.966065645976144	3.388283404455862e-14	1.988922358415591e-11	Mean corpuscular volume
30040_irnt.male	31.602354334229187	2.110675972373956e-12	6.194833978917562e-10	Mean corpuscular volume
30050_irnt.female	30.1167288415173	1.188572121326982e-11	2.3256394507297946e-09	Mean corpuscular haemoglobin
30050_irnt.male	31.98736019016771	1.2951226738454592e-10	1.9005925238682113e-08	Mean corpuscular haemoglobin
30270_irnt.female	29.471853204674563	2.135734749232548e-10	2.5073525955990115e-08	Mean sphered cell volume
30000_irnt.male	14.177578732851568	3.2008831499058023e-09	2.968344890165522e-07	White blood cell (leukocyte) count
30070_irnt.male	27.43951105919241	3.539763923536398e-09	2.968344890165522e-07	Red blood cell (erythrocyte) distribution width
30200_irnt.male	14.825771835978951	4.683123751491185e-09	3.436242052656657e-07	Neutrophill percentage
30260_irnt.female	34.20794708840374	7.106164251192022e-09	4.6347982393885747e-07	Mean reticulocyte volume
30070_irnt.female	25.57518754213447	9.480436043882811e-09	5.56501595775921e-07	Red blood cell (erythrocyte) distribution width
30130_irnt.female	17.14553331292173	1.897814262804063e-08	1.0127427020599864e-06	Monocyte count
30000_irnt.female	14.307504993568475	4.6299910367556106e-08	2.2648372821462862e-06	White blood cell (leukocyte) count
30270_irnt.male	29.409256058258645	6.192773053734368e-08	2.7519082182384544e-06	Mean sphered cell volume
30130_irnt.male	14.947362691752026	6.563324540943503e-08	2.7519082182384544e-06	Monocyte count
30260_irnt.male	33.68486985375528	9.818006391261427e-08	3.8421131677803054e-06	Mean reticulocyte volume
30280_irnt.female	17.34130605247764	1.1447734782360441e-07	4.199887698278487e-06	Immature reticulocyte fraction
30290_irnt.female	17.029952358190215	1.3830830644297845e-07	4.775704463648726e-06	High light scatter reticulocyte percentage
30180_irnt.female	14.888070872814044	1.485465971913936e-07	4.844269586186003e-06	Lymphocyte percentage
30190_irnt.male	19.502173755646428	1.69214501730562e-07	5.22783750083368e-06	Monocyte percentage
30080_irnt.male	18.09042730946133	3.334114328707435e-07	9.785625554756323e-06	Platelet count
30200_irnt.female	13.064591255557175	4.505194954830135e-07	1.2593092564215663e-05	Neutrophill percentage
30300_irnt.female	15.415593674992746	4.891915419567204e-07	1.3052519778572493e-05	High light scatter reticulocyte count
30190_irnt.female	19.657861062016703	5.571010004505223e-07	1.4218186402802458e-05	Monocyte percentage
30140_irnt.male	13.752939152830606	9.011406656940036e-07	2.204039878176584e-05	Neutrophill count
30240_irnt.male	20.04525304089219	1.2297602950714169e-06	2.8691788994021223e-05	Reticulocyte percentage
30290_irnt.male	17.46447040436082	1.2708458498203609e-06	2.8691788994021223e-05	High light scatter reticulocyte percentage
30090_irnt.female	16.816691677427126	1.698117316056592e-06	3.691832831574887e-05	Platelet crit
30180_irnt.male	16.222290914503052	1.865123826936508e-06	3.910098880041893e-05	Lymphocyte percentage
30250_irnt.male	18.61726888964251	1.995914755396249e-06	4.040006763508959e-05	Reticulocyte count
30080_irnt.female	17.69774413535844	2.557103687300322e-06	5.003399548150963e-05	Platelet count
30240_irnt.female	18.311903541008714	2.692072187500155e-06	5.097568948589004e-05	Reticulocyte percentage
30120_irnt.female	13.28899309526994	3.1084041731875115e-06	5.6156854506180545e-05	Lymphocyte count
30250_irnt.female	16.606588214319117	3.157029299325312e-06	5.6156854506180545e-05	Reticulocyte count
30280_irnt.male	14.04887722518358	3.3524577817117505e-06	5.787919758425875e-05	Immature reticulocyte fraction
30300_irnt.male	16.13194355219742	4.766589344862587e-06	7.994251272669538e-05	High light scatter reticulocyte count
30140_irnt.female	14.584271200313148	5.054597392156774e-06	8.24180185887785e-05	Neutrophill count
30010_irnt.male	17.12383449951626	6.265805841408111e-06	9.940616294342059e-05	Red blood cell (erythrocyte) count
30010_irnt.female	16.29105694411832	6.919639357828916e-06	0.00010689021850119931	Red blood cell (erythrocyte) count
30100_irnt.female	14.18499563935946	9.275878611797109e-06	0.0001396138652596129	Mean platelet (thrombocyte) volume
30090_irnt.male	16.98205367708097	9.665705566385389e-06	0.00014184422918670558	Platelet crit
30220_irnt.male	22.756054551946654	1.0618139160819524e-05	0.0001520206753024649	Basophill percentage
30060_irnt.female	34.232310295531924	1.8512700970092275e-05	0.00025873703498676586	Mean corpuscular haemoglobin concentration
30750_irnt.female	16.616997564597227	2.113054786617169e-05	0.0002884565487777391	Glycated haemoglobin (mmol/mol)
30060_irnt.male	33.657458701020055	4.872471279806487e-05	0.0006500319639196381	Mean corpuscular haemoglobin concentration
30210_irnt.female	12.508948132778922	5.215748700439284e-05	0.0006803654415906355	Eosinophill percentage
30110_irnt.male	18.039699249098604	6.101338878865198e-05	0.000778583896063885	Platelet distribution width
30120_irnt.male	15.481724370389824	6.652674786541609e-05	0.0008308766169574306	Lymphocyte count
30100_irnt.male	12.271950524417216	7.501178865949313e-05	0.0009173316654817181	Mean platelet (thrombocyte) volume
30220_irnt.female	20.833204539846857	0.000114805703931	0.0013753254736223878	Basophill percentage
30110_irnt.female	13.902843294524924	0.0001491672675886	0.0017512237214901642	Platelet distribution width
30210_irnt.male	10.016037075397096	0.0009802298238276	0.011282253070329437	Eosinophill percentage
21021_irnt.male	15.407547278926517	0.004084831005919	0.04611145770143179	Pulse wave Arterial Stiffness index
30750_irnt.male	12.07185367881955	0.004492476776605	0.04975629939371953	Glycated haemoglobin (mmol/mol)
4196_irnt.male	14.467242963111596	0.0047106984163646	0.05120703648900037	Pulse wave peak to peak time
30840_irnt.male	11.29688278988126	0.0053235882515657	0.05681720552125574	Total bilirubin (umol/L)
