trait_short	Enrichment	Enrichment_p	Enrichment_p_adj	description	enrichments_list	enrichment_ps_list	colors	logged_enrichments	logged_enrichments_ps	type
30040_irnt.female	29.966065645976144	3.388283404455862e-14	1.988922358415591e-11	Mean corpuscular volume	29.966065645976144	3.388283404455862e-14	red	4.905257774479952	13.47002027135084	count
30040_irnt.male	31.602354334229194	2.110675972373956e-12	6.194833978917563e-10	Mean corpuscular volume	31.602354334229194	2.110675972373956e-12	red	4.9819601361945915	11.675578433774882	count
30050_irnt.female	30.1167288415173	1.188572121326982e-11	2.3256394507297942e-9	Mean corpuscular haemoglobin	30.1167288415173	1.188572121326982e-11	red	4.912493173648646	10.924974460596275	count
30050_irnt.male	31.987360190167713	1.2951226738454592e-10	1.9005925238682116e-8	Mean corpuscular haemoglobin	31.987360190167713	1.2951226738454592e-10	red	4.999430031457907	9.887689093319484	count
30270_irnt.female	29.471853204674566	2.1357347492325482e-10	2.5073525955990115e-8	Mean sphered cell volume	29.471853204674566	2.1357347492325482e-10	red	4.881265875577747	9.670452686146223	count
30000_irnt.male	14.177578732851567	3.2008831499058027e-9	2.968344890165522e-7	White blood cell (leukocyte) count	14.177578732851567	3.2008831499058027e-9	red	3.825539262981483	8.494730179738214	count
30070_irnt.male	27.43951105919241	3.5397639235363984e-9	2.968344890165522e-7	Red blood cell (erythrocyte) distribution width	27.43951105919241	3.5397639235363984e-9	red	4.778182869446083	8.451025701286152	count
30200_irnt.male	14.825771835978953	4.683123751491185e-9	3.436242052656657e-7	Neutrophill percentage	14.825771835978953	4.683123751491185e-9	red	3.8900353089303747	8.329464365839607	count
30260_irnt.female	34.20794708840374	7.106164251192021e-9	4.6347982393885747e-7	Mean reticulocyte volume	34.20794708840374	7.106164251192021e-9	red	5.096259621552424	8.1483647584901	count
30070_irnt.female	25.575187542134472	9.480436043882813e-9	5.565015957759211e-7	Red blood cell (erythrocyte) distribution width	25.575187542134472	9.480436043882813e-9	red	4.676672914139113	8.023171687229748	count
